id,BC,FF,Rs,Rsh,VOC,jsc
122,Ag,23.56839987,5104.825334,1646683.507,268.431636,6.5900
123,Ag,55.6398743,10606.16369,731802.7714,263.779139,15.6000
124,Ag,40.87256801,49264.26079,1944655.3,255.529161,11.2000
125,Ag,43.1729248,4866.445369,2374726.327,260.242415,10.7059
126,Ag,32.0339677,300964.9683,2480768.412,335.03817,9.8000
127,Ag,24.96886994,657.8303437,91693.43196,43.478405,18.6000
128,Ag,25.46364159,21402.82028,87367.50105,41.8,19.3000
129,Ag,38.46615877,170950.4213,1864136.374,348.911376,18.1000
130,Ag,30.8687266,104381.3513,1638580.148,356.572978,15.4000
131,Co,41.13444953,4929.93848,2390042.957,147.847109,7.8500
132,Co,34.17767891,7969.588333,1790941.719,214.115867,7.7400
133,Co,46.20876354,18677.53948,4490313.311,269.14976,8.0900
134,Co,44.38184455,51009.30003,4857671.968,317.161309,7.7700
135,Co,41.46700291,70380.36983,4213467.934,365.242919,7.8300
136,Co,38.73517024,130756.9312,3650756.16,421.053959,8.4200
137,Co,36.18874405,198086.0095,3092820.333,439.816101,8.8400
138,Co,36.4644302,233096.6468,3320116.425,443.246739,8.7001
139,Co,29.51781895,171523.5356,2277828.16,355.705887,7.8600
140,Co,36.36560675,219527.741,4523152.019,416.293334,6.4200
141,Co,37.04689161,217281.7857,4109302.112,364.81918,6.7800
142,Co,36.60763934,263252.9853,4144856.34,339.97428,6.4500
143,Co,41.54261593,24295.9372,3101012.676,193.232877,8.2000
144,Co,46.05818218,37240.85053,4481487.216,295.107794,8.4100
145,Co,42.4681868,88266.89359,3684649.184,316.127744,8.6800
146,Co,38.14097755,208066.1437,3271626.217,372.167071,8.6200
147,Co,36.47191538,235643.8453,2881207.183,419.822962,8.9700
148,Co,35.59234427,295960.2498,2871640.357,441.549983,9.0900
149,Co,34.05385105,268406.0822,2826417.003,414.429678,8.7400
150,Co,35.25753831,317013.2234,3749500.294,411.432508,7.1600
151,Co,34.39799631,207706.5632,2962380.664,323.453824,7.3200
152,Co,31.93324728,590793.7476,3291400.936,326.557967,6.1300
153,Co,41.04285577,13953.68526,2384573.888,170.569802,8.4000
154,Co,47.29720726,23041.68396,4570293.742,261.255775,8.6600
155,Co,37.79243401,59326.67519,2287055.919,258.532994,8.7500
156,Co,39.14158509,217229.8454,3303857.27,355.952374,8.2900
157,Co,38.92938684,212014.8915,3741889.466,401.250501,8.9900
158,Co,37.18063707,313935.6339,2900653.161,424.781903,9.5200
159,Co,38.15529609,169027.7743,3138336.523,416.710887,9.1900
160,Co,37.79505792,322163.031,3553596.17,417.836933,8.2700
161,Co,39.39097211,263945.3648,4274522.381,375.507224,7.9200
162,Co,34.56930397,435886.7134,3573384.653,347.642391,6.6500
163,Co,34.77798305,344937.548,3419553.885,308.74148,6.0700
164,Co,40.85258476,176381.2798,4938792.26,282.950579,7.4500
165,Co,41.31098426,4033.989212,2120825.831,120.33192,9.6700
166,Co,45.04247499,8261.377951,4083384.452,172.665662,8.1500
167,Co,43.62879971,36324.61153,4090516.794,197.815004,8.2800
168,Co,39.46981829,155980.95,3478439.808,261.41316,8.5000
169,Co,40.37924901,172499.1098,3625888.297,308.800307,8.5800
170,Co,40.94362831,169699.2383,3851569.192,374.446774,8.3900
171,Co,39.42472634,167090.2273,3640305.338,376.479006,8.7400
172,Co,37.3666814,318727.7277,3404096.745,373.168426,8.5100
173,Co,38.82240364,380034.1183,4709900.321,357.766989,7.5200
174,Co,34.72659544,451805.7149,3787944.877,323.789169,6.3500
175,Co,36.57650505,231244.742,3605020.069,263.138469,7.5700
176,Co,25.8507083,62161.00046,703436.5771,76.7,4.4800
177,Co,34.66564584,2205.579222,613325.973,101.274206,13.4027
178,Co,42.13911781,6520.369129,2647389.131,147.376709,8.5200
179,Co,45.52086804,54883.79279,4835653.056,254.771793,8.1800
180,Co,42.4426158,91221.78735,4303541.065,294.682653,7.9800
181,Co,41.89722071,93878.88264,3837821.267,264.334144,8.3000
182,Co,42.17678358,190154.1629,4648539.569,368.180392,7.5400
183,Co,31.06716454,13931.02035,740207.6302,95.3,7.8500
184,Co,37.22107839,263714.0521,3222410.771,314.480963,8.0500
185,Co,27.96675075,192424.1165,985867.3801,151.312947,7.2000
186,Co,37.75574031,80486.46172,2736427.327,178.905887,8.3300
187,Co,37.84920664,153481.1489,3306167.323,225.601953,7.8800
188,Co,39.66229282,114747.7514,3253667.593,237.802643,7.7100
189,Co,37.24659562,194725.9585,3466927.788,247.882021,7.4000
190,Co,39.93628592,233639.1096,4387317.156,311.86234,7.5100
191,Co,36.84688474,351057.3426,4115131.28,310.835937,7.3000
192,Co,25.17154863,603565.8215,2242945.564,177.541627,3.1000
193,Co,26.53958594,57904.42029,617646.0652,81.9,5.7600
194,Co,31.71674442,1040.781253,425191.0743,98.4,15.3000
195,Co,38.96311696,7805.763472,1406799.174,137.399043,12.8000
196,Co,43.48595041,37577.06085,4109128.804,193.329035,8.3100
197,Co,40.03021664,108526.8492,3925410.738,223.145822,7.9200
198,Co,39.52708226,125999.594,3863647.478,230.003355,7.4800
199,Co,36.17954524,135786.0941,2650711.624,196.517734,7.2500
200,Co,33.99518434,187718.4332,2399977.893,234.59636,6.8500
201,Co,42.13772859,204217.255,5198693.97,315.817528,6.9500
202,Co,40.72302037,364958.9107,5379175.523,363.42284,6.9600
203,Co,32.0201494,602127.6175,3464672.353,342.343932,5.4200
204,Co,28.25244541,360254.3106,2325695.955,216.668177,4.5900
205,Co,34.77933092,9348.127259,731013.9751,143.631182,16.8580
206,Co,40.72527922,17188.08654,1912372.684,142.955765,11.7000
207,Co,39.06808857,85203.419,3173041.624,190.845651,8.5400
208,Co,41.21446222,75982.69493,4221383.452,218.581552,7.3700
209,Co,31.81025726,107742.2513,1391957.924,133.001063,7.0500
210,Co,39.30280102,103796.7685,3709496.42,249.382311,6.5000
211,Co,41.89655534,285660.182,5375388.638,335.572915,6.5900
212,Co,29.40788241,125815.4766,1243968.386,140.157919,6.7600
213,Co,30.96890656,29897.1063,661187.4406,95.1,9.7300
214,Co,29.37071353,695.5419375,348105.2594,74.5,11.3328
215,Co,31.04783522,974.3297043,399718.8399,93.8,14.1000
216,Co,33.29158739,4432.323265,408189.0255,80.9,15.8000
217,Co,32.0709048,16850.05069,441516.7393,77.1,13.4000
218,Co,31.65188699,53314.12693,742495.6775,101.686545,10.3000
219,Co,29.45373719,86010.18491,707690.3139,96.7,8.0800
220,Co,34.54826476,128423.0296,2049238.076,166.858048,8.5800
221,Co,32.85847009,127585.9624,1525683.99,158.85648,9.2100
222,Co,29.78428401,12243.01051,384169.0002,72.1,11.2000
223,Co,27.70133644,1115.598383,410637.9627,80.9,9.0500
224,Co,31.69659055,4772.990385,650858.8221,148.065317,14.3000
225,Co,30.60020324,9530.24067,297267.6712,78.4,16.1000
226,Co,30.76358829,24144.37883,372292.3537,79.555285,14.4000
227,Co,26.98379726,39321.8111,231468.4534,53.9,11.2000
228,Co,29.58376725,54717.53289,480861.7638,88.3,11.3000
229,Co,31.03962815,67985.93397,725721.5711,113.408092,11.1000
230,Co,32.85185652,102559.5045,1313672.629,160.52345,10.4000
231,Co,33.22479513,128203.5558,1680543.152,175.21544,9.8700
232,Co,31.49768264,54540.45857,685561.6481,134.97562,14.0000
233,Co,31.72013919,1665.622068,423374.379,89.343009,13.6598
234,Co,27.24752207,11000.90794,174747.1528,46,13.5000
235,Co,27.83214732,31682.52383,220154.6386,56.234977,12.9000
236,Co,26.16847412,23625.05399,177291.5369,48,13.1000
237,Co,27.91234918,29550.69353,252602.7312,63,12.9000
238,Co,25.03290923,5074.957648,64841.97144,23.5,14.7000
239,Co,31.16385402,17630.54871,555567.8036,131.216609,15.1000
240,Co,32.63150158,4240.616891,612901.8865,117.276109,13.1000
241,Co,25.59680492,3393.121512,174187.0976,31.2,8.3700
242,Co,25.70068474,6636.99576,103441.3739,23.7,10.2000
243,Co,29.5168058,662.3752062,780984.6802,78.2,5.4000
244,Co,33.67164942,812.5729419,2175784.532,140.822612,4.2100
245,Co,36.21911066,359.9169364,3411449.512,129.319484,3.0200
246,Co,30.296932,520.4240142,1236136.427,71.029243,3.1400
247,Co,26.32868638,158.0169584,752963.5647,32.9,2.0100
248,Co,26.1294672,-12891854.65,354208.5808,22.270859,2.7700
249,Cu,45.14836909,15202.44332,2241272.901,160.364421,11.5000
250,Cu,26.03823738,11461.66215,610723.7129,170.187127,11.4881
251,Cu,44.2041354,38963.50097,2943055.787,330.466402,10.1000
252,Cu,41.26835919,72611.92554,2601966.475,355.122193,9.5600
253,Cu,38.68182222,70822.66696,2403442.973,368.414667,9.7900
254,Cu,37.17070814,104870.7112,2358810.198,384.431143,10.3000
255,Cu,35.30045714,300513.0257,2315293.68,386.299162,9.9200
256,Cu,34.65470492,221639.371,2336109.301,375.646274,9.7600
257,Cu,35.0669748,361486.8601,2805961.476,365.695877,7.9300
